livestock,province_code,province_name_en,share,notes
Dairy,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,GS,Gansu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,HA,Henan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,HB,Hubei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,HE,Hebei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,HI,Hainan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,HN,Hunan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,JL,Jilin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,SD,Shandong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Dairy,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,AH,Anhui,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,GS,Gansu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,HA,Henan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,HB,Hubei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,HE,Hebei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,HI,Hainan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,HN,Hunan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,JL,Jilin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,SD,Shandong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Pork,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,AH,Anhui,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,GS,Gansu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,HA,Henan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,HB,Hubei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,HE,Hebei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,HI,Hainan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,HN,Hunan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,JL,Jilin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,SD,Shandong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
Poultry,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,AH,Anhui,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,BJ,Beijing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,CQ,Chongqing,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,FJ,Fujian,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,GD,Guangdong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,GS,Gansu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,GX,Guangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,GZ,Guizhou,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,HA,Henan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,HB,Hubei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,HE,Hebei,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,HI,Hainan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,HL,Heilongjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,HN,Hunan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,JL,Jilin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,JS,Jiangsu,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,JX,Jiangxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,LN,Liaoning,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,NM,Inner Mongolia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,NX,Ningxia,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,QH,Qinghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,SC,Sichuan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,SD,Shandong,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,SH,Shanghai,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,SN,Shaanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,SX,Shanxi,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,TJ,Tianjin,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,XJ,Xinjiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,XZ,Tibet,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,YN,Yunnan,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
SheepGoat,ZJ,Zhejiang,NA,Enter provincial share (0-1). Shares for each livestock should sum to 1.0
